monthly,expiration,execution_date,last_trade_date,num_underlying
True,2016-02-19,2016-02-12,2016-02-19,36
False,2016-02-26,2016-02-19,2016-02-26,32
False,2016-03-04,2016-02-26,2016-03-04,32
False,2016-03-11,2016-03-04,2016-03-11,32
True,2016-03-18,2016-03-11,2016-03-18,34
False,2016-03-24,2016-03-18,2016-03-24,26
False,2016-04-01,2016-03-24,2016-04-01,32
False,2016-04-08,2016-04-01,2016-04-08,30
True,2016-04-15,2016-04-08,2016-04-15,34
False,2016-04-22,2016-04-15,2016-04-22,33
False,2016-04-29,2016-04-22,2016-04-29,32
False,2016-05-06,2016-04-29,2016-05-06,32
False,2016-05-13,2016-05-06,2016-05-13,33
True,2016-05-20,2016-05-13,2016-05-20,34
False,2016-05-27,2016-05-20,2016-05-27,32
False,2016-06-03,2016-05-27,2016-06-03,30
False,2016-06-10,2016-06-03,2016-06-10,28
True,2016-06-17,2016-06-10,2016-06-17,35
False,2016-06-24,2016-06-17,2016-06-24,34
False,2016-07-01,2016-06-24,2016-07-01,31
False,2016-07-08,2016-07-01,2016-07-08,32
True,2016-07-15,2016-07-08,2016-07-15,35
False,2016-07-22,2016-07-15,2016-07-22,31
False,2016-07-29,2016-07-22,2016-07-29,30
False,2016-08-05,2016-07-29,2016-08-05,30
False,2016-08-12,2016-08-05,2016-08-12,26
True,2016-08-19,2016-08-12,2016-08-19,30
False,2016-08-26,2016-08-19,2016-08-26,30
False,2016-09-02,2016-08-26,2016-09-02,32
False,2016-09-09,2016-09-02,2016-09-09,30
True,2016-09-16,2016-09-09,2016-09-16,35
False,2016-09-23,2016-09-16,2016-09-23,32
False,2016-09-30,2016-09-23,2016-09-30,31
False,2016-10-07,2016-09-30,2016-10-07,32
False,2016-10-14,2016-10-07,2016-10-14,31
True,2016-10-21,2016-10-14,2016-10-21,35
False,2016-10-28,2016-10-21,2016-10-28,31
False,2016-11-04,2016-10-28,2016-11-04,30
False,2016-11-11,2016-11-04,2016-11-11,32
True,2016-11-18,2016-11-11,2016-11-18,36
False,2016-11-25,2016-11-18,2016-11-25,32
False,2016-12-02,2016-11-25,2016-12-02,33
False,2016-12-09,2016-12-02,2016-12-09,33
True,2016-12-16,2016-12-09,2016-12-16,36
False,2016-12-23,2016-12-16,2016-12-23,33
False,2016-12-30,2016-12-23,2016-12-30,30
False,2017-01-06,2016-12-30,2017-01-06,31
False,2017-01-13,2017-01-06,2017-01-13,29
True,2017-01-20,2017-01-13,2017-01-20,35
False,2017-01-27,2017-01-20,2017-01-27,32
False,2017-02-03,2017-01-27,2017-02-03,31
False,2017-02-10,2017-02-03,2017-02-10,31
True,2017-02-17,2017-02-10,2017-02-17,34
False,2017-02-24,2017-02-17,2017-02-24,30
False,2017-03-03,2017-02-24,2017-03-03,31
False,2017-03-10,2017-03-03,2017-03-10,31
True,2017-03-17,2017-03-10,2017-03-17,35
False,2017-03-24,2017-03-17,2017-03-24,30
False,2017-03-31,2017-03-24,2017-03-31,31
False,2017-04-07,2017-03-31,2017-04-07,31
False,2017-04-13,2017-04-07,2017-04-13,31
